starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 09 14:22:20 2024	1731151340	0	626	626	626
Sat Nov 09 14:22:24 2024	1731151344	0	627	627	627
Sat Nov 09 14:22:23 2024	1731151343	0	628	628	627
Sat Nov 09 14:22:22 2024	1731151342	0	629	629	629
Sat Nov 09 14:22:23 2024	1731151343	0	630	630	630
Sat Nov 09 14:22:23 2024	1731151343	0	630	630	630
Sat Nov 09 14:22:26 2024	1731151346	0	631	631	630
Sat Nov 09 14:22:22 2024	1731151342	0	634	634	634
Sat Nov 09 14:22:25 2024	1731151345	0	635	635	634
Sat Nov 09 14:22:22 2024	1731151342	0	636	636	613
Sat Nov 09 14:22:23 2024	1731151343	0	636	636	636
